listing_id,avg_price,median_price,min_date,max_date,n_observations,n_unique_dates,season_high
1312949509621922876,647.1384976525821,627.0,2025-01-16,2025-04-20,213,86,647.1384976525821
1313064371372817918,976.031746031746,880.0,2025-01-09,2025-04-20,252,98,976.031746031746
1314095834089788250,794.9188051282051,800.0,2025-02-01,2025-04-19,78,78,794.9188051282052
1315954985293478319,811.6538461538462,950.0,2025-01-09,2025-04-20,260,102,811.6538461538462
1317427472349939673,1000.0,1000.0,2025-01-06,2025-04-06,91,91,1000.0
1318315111310867765,752.7510283950617,700.0,2025-01-29,2025-04-19,81,81,752.7510283950617
1318376138623084691,785.413725882353,786.6667,2025-01-26,2025-04-20,85,85,785.413725882353
1320994692912931266,1087.4173387096773,865.0,2025-01-06,2025-04-20,248,99,1087.4173387096773
1320995339425720277,742.5435648514851,672.0,2025-01-12,2025-04-20,202,87,742.5435648514851
1321022086036905023,899.7364675213676,858.0,2025-01-13,2025-04-20,234,91,899.7364675213676
1321134786322096510,724.5619158878504,634.0,2025-01-23,2025-04-20,214,88,724.5619158878504
1329787295308110610,935.0,935.0,2025-02-09,2025-04-20,71,71,935.0
1333504785474035960,588.6463414634146,616.0,2025-01-29,2025-04-20,82,82,588.6463414634146
13522176,2397.796875,2300.0,2025-02-10,2025-04-06,32,32,2397.796875
14872547,613.26953125,690.75,2025-01-27,2025-03-31,64,64,613.26953125
14884678,577.887323943662,595.0,2025-03-10,2025-04-20,71,42,577.887323943662
15024197,800.0,800.0,2025-01-30,2025-02-16,18,18,800.0
15500038,508.6462341346154,428.2,2025-01-15,2025-04-20,208,88,508.6462341346154
15523493,671.5625,800.0,2025-01-27,2025-04-15,148,58,671.5625
15549803,775.5673076923077,490.0,2025-01-13,2025-04-19,104,45,775.5673076923077
15732070,769.668333,766.5,2025-01-28,2025-03-31,100,63,769.668333
15754075,682.1801783783784,600.0,2025-01-28,2025-03-31,111,37,682.1801783783784
15791567,580.0,550.0,2025-02-16,2025-04-07,35,35,580.0
15909831,752.6269846560847,790.0,2025-02-02,2025-04-20,189,78,752.6269846560847
15934309,806.0862068965517,790.0,2025-02-10,2025-04-20,174,70,806.0862068965517
15980018,400.0,400.0,2025-03-30,2025-04-20,39,22,400.0
15980108,1500.0,1500.0,2025-02-09,2025-04-07,39,39,1500.0
16017693,867.3321000000001,910.0,2025-01-26,2025-03-31,108,36,867.3321000000001
16105751,273.2916666666667,250.0,2025-01-29,2025-04-17,72,31,273.2916666666667
16177778,757.701724137931,810.0,2025-01-19,2025-04-20,232,92,757.701724137931
16253828,1605.1979166666667,1610.6666,2025-01-29,2025-04-19,192,73,1605.1979166666667
16270332,896.2962962962963,900.0,2025-01-16,2025-03-10,54,54,896.2962962962963
16321793,530.9430051813472,450.0,2025-01-18,2025-04-20,193,74,530.9430051813472
16350860,603.9346153846154,653.0,2025-02-03,2025-04-20,65,65,603.9346153846154
16451544,500.0,500.0,2025-03-05,2025-04-20,66,31,500.0
16527828,1055.7931034482758,1050.0,2025-01-24,2025-04-20,87,87,1055.7931034482758
16570256,497.8892123404255,523.0,2025-02-09,2025-04-06,47,47,497.8892123404255
16586622,636.817373939394,600.0,2025-01-31,2025-04-20,165,80,636.817373939394
16618715,791.5941860465116,790.0,2025-01-09,2025-04-20,215,88,791.5941860465116
16644316,818.2388059701492,770.0,2025-01-06,2025-04-06,67,67,818.2388059701492
16662563,1728.0,1728.0,2025-01-29,2025-03-31,186,62,1728.0
16730935,250.0,250.0,2025-01-21,2025-04-19,89,89,250.0
16992951,644.9651162790698,500.0,2025-01-21,2025-04-20,172,71,644.9651162790698
17013106,1770.3389830508474,1500.0,2025-01-14,2025-04-06,59,59,1770.3389830508474
17034886,832.75,446.0,2025-01-06,2025-04-06,46,46,832.75
17294276,992.68889,850.0,2025-01-30,2025-04-20,90,47,992.68889
